Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2011-07-17,13.44,,9296,
2011-07-18,13.32,,8883,
2011-07-19,13.66,,7412,
2011-07-20,13.787,,8754,
2011-07-21,13.665,,8075,
2011-07-22,13.653,,8209,
2011-07-23,13.69,,7965,
2011-07-24,13.835,,8543,
2011-07-25,14.014,,8362,
2011-07-26,13.956,,8809,
2011-07-27,13.911,,7872,
2011-07-28,13.691,,7518,
2011-07-29,13.494,,8287,
2011-07-30,13.516,,7993,
2011-07-31,13.443,,8364,
2011-08-01,13.222,,6892,
2011-08-02,12.573,,6656,
2011-08-03,10.655,,5752,
2011-08-04,10.019,,4796,
2011-08-05,10.255,,5758,
2011-08-06,8.145,,4020,
2011-08-07,7.218,,3861,
2011-08-08,7.85,,4375,
2011-08-09,8.895,,5014,
2011-08-10,9.975,,5066,
2011-08-11,9.775,,5144,
2011-08-12,9.462,,4981,
2011-08-13,9.801,,4958,
2011-08-14,10.463,,5967,
2011-08-15,10.971,,5438,
2011-08-16,11.059,,6855,
2011-08-17,10.934,,5922,
2011-08-18,10.904,,5907,
2011-08-19,11.24,,5950,
2011-08-20,11.555,,6954,
2011-08-21,11.382,,6793,
2011-08-22,11.103,,5996,
2011-08-23,10.925,,5639,
2011-08-24,10.895,,5685,
2011-08-25,10.254,,5804,
2011-08-26,8.918,,4974,
2011-08-27,8.385,,4380,
2011-08-28,8.831,,4830,
2011-08-29,9.02,,5482,
2011-08-30,8.88,,5012,
2011-08-31,8.495,,4836,
2011-09-01,8.205,,4360,
2011-09-02,8.444,,5065,
2011-09-03,8.54,,4732,
2011-09-04,8.321,,4676,
2011-09-05,7.861,,4758,
2011-09-06,7.237,,4112,
2011-09-07,7.025,,3587,
2011-09-08,6.864,,3882,
2011-09-09,5.78,,3623,
2011-09-10,4.897,,2506,
2011-09-11,5.319,,2749,
2011-09-12,6.009,,3621,
2011-09-13,5.925,,3425,
2011-09-14,5.72,,3276,
2011-09-15,5.23,,3207,
2011-09-16,4.83,,2432,
2011-09-17,4.795,,2983,
2011-09-18,4.98,,2872,
2011-09-19,5.331,,2746,
2011-09-20,5.787,,3592,
2011-09-21,5.875,,3340,
2011-09-22,5.536,,3168,
2011-09-23,5.487,,2934,
2011-09-24,5.507,,3223,
2011-09-25,5.375,,3034,
2011-09-26,5.1,,2996,
2011-09-27,4.893,,2712,
2011-09-28,4.844,,3067,
2011-09-29,4.78,,2601,
2011-09-30,4.948,,2786,
2011-10-01,5.1,,3482,
2011-10-02,5.03,,2644,
2011-10-03,5.026,,3250,
2011-10-04,4.992,,2500,
2011-10-05,4.915,,3368,
2011-10-06,4.802,,2577,
2011-10-07,4.51,,2901,
2011-10-08,4.155,,2209,
2011-10-09,4.055,,2561,
2011-10-10,4.1,,2426,
2011-10-11,3.996,,2003,
2011-10-12,4.04,,2554,
2011-10-13,4.103,,2474,
2011-10-14,4.022,,3052,
2011-10-15,3.915,,2517,
2011-10-16,3.7,,2386,
2011-10-17,3.059,,2104,
2011-10-18,2.48,,1684,
2011-10-19,2.345,,1678,
2011-10-20,2.299,,1521,
2011-10-21,2.46,,1587,
2011-10-22,2.874,,1811,
2011-10-23,3.123,,2255,
2011-10-24,2.836,,2188,
2011-10-25,2.647,,1798,
2011-10-26,2.763,,1817,
2011-10-27,2.907,,1774,
2011-10-28,3.115,,2198,
2011-10-29,3.376,,2251,
2011-10-30,3.426,,2541,
2011-10-31,3.262,,2750,
2011-11-01,3.203,,2901,
2011-11-02,3.202,,2738,
2011-11-03,3.202,,2364,
2011-11-04,3.139,,2881,
2011-11-05,3.04,,2423,
2011-11-06,2.965,,2423,
2011-11-07,2.983,,2494,
